time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449200000	18.7149	17.2411	4.76603	2.20857	0.58053	lidar	1.65739	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5999	17.4394	4.76117	2.2198	0.559217	radar	4.57818	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3932	17.6239	4.78783	2.2642	0.57114	lidar	4.77386	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2525	17.8096	4.7831	2.28255	0.558213	radar	2.3526	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1128	17.9948	4.77891	2.3047	0.553945	lidar	0.627864	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9387	18.1545	4.77141	2.34061	0.563123	radar	1.90692	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7957	18.3037	4.7378	2.36528	0.56115	lidar	1.01891	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6569	18.4835	4.73151	2.3802	0.548904	radar	6.62731	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4649	18.6559	4.75405	2.41026	0.550439	lidar	0.48077	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2838	18.8009	4.74576	2.44098	0.553779	radar	1.67631	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.115	18.9394	4.72527	2.46738	0.55319	lidar	0.359592	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9465	19.1061	4.72948	2.48443	0.542695	radar	3.22403	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7295	19.2205	4.72714	2.52281	0.551201	lidar	2.74435	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5413	19.3716	4.73603	2.54576	0.547512	radar	3.16347	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3222	19.5224	4.76903	2.57349	0.547191	lidar	0.916148	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1006	19.6125	4.75828	2.61395	0.559124	radar	9.8844	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8959	19.7513	4.77275	2.6368	0.555034	lidar	0.78373	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7037	19.8719	4.75729	2.65291	0.5404	radar	3.8085	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.478	20.0144	4.79341	2.67509	0.53612	lidar	1.64364	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.272	20.1495	4.80295	2.69027	0.524237	radar	6.38017	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0761	20.2785	4.80207	2.70652	0.516769	lidar	2.15154	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8496	20.364	4.80031	2.73641	0.519628	radar	1.78748	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6314	20.4796	4.81207	2.75612	0.514733	lidar	0.938834	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4007	20.568	4.82029	2.78401	0.517489	radar	1.00792	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1541	20.6427	4.835	2.81446	0.520687	lidar	0.679864	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9212	20.7155	4.83875	2.8429	0.5239	radar	0.22324	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6524	20.7788	4.87166	2.87525	0.528004	lidar	1.93925	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4074	20.8159	4.87622	2.91428	0.542683	radar	2.40303	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1593	20.8628	4.8836	2.94387	0.544401	lidar	0.200166	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9275	20.9192	4.88125	2.96733	0.541884	radar	1.73181	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7166	20.9706	4.85638	2.98803	0.537495	lidar	1.69123	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
